,,,,,,,,,,,,,,https://www.eia.gov/environment/emissions/state/
,,,,,,,,,,,,,,
,City,State,State,Total Electric Power Industry (million metric tons of carbon dioxide),Total Electric Power Industry/state (MWh),"Carbon Intensity 
(kg CO2/ MWh)","Carbon Intensity 
(g CO2/ MWh)",,,,,,,
,Northern Virginia (NoVA),Virginia,VA,21.4,"91,059,344",235.012,"235,012",,,,,,,
,Dallas–Fort Worth,Texas,TX,185.3,"547,294,545",338.575,"338,575",,,,,,,
,Silicon Valley,California,CA,34.7,"216,628,795",160.182,"160,182",,,,,,,
,Phoenix,Arizona,AZ,34.5,"111,838,736",308.48,"308,480",,,,,,,
,Chicago,Illinois,IL,37.8,"177,737,641",212.673,"212,673",,,,,,,
,,,,,,,,,,,,,,
,,,Current Rate/MWh =,$85.30 ,,,,,,,,,,
,Industrial usage,,Current Rate/kWh =,$8.53 ,,,,,,,,,,
,,MWh Value,Total Price ($),,,,,,,,,,,
VA,1,"91,059,344","$7,767,362,043.20 ",,,,,,,,,,,
TX,2,"547,294,545","$46,684,224,688.50 ",,,,,,,,,,,
CA,3,"216,628,795","$18,478,436,213.50 ",,,,,,,,,,,
AZ,4,"111,838,736","$9,539,844,180.80 ",,,,,,,,,,,
IL,5,"177,737,641","$15,161,020,777.30 ",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,\,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://www.eia.gov/electricity/data/state/
